ad_name,status,spent_total,impressions,clicks,ecpc,listens_started,audio_added,audio_added_price,audio_shared,playlist_added,playlist_added_price,playlist_shared,view_start,view_25,view_50,view_75,view_100,campaign_id,ad_id,group_id
A_0000,deleted,4.47,15,0,2.04,0,1,12.19,1,1,14.37,0,0,59,58,0,1,C_0000,A_0000,G_0000
A_0001,blocked,0.64,2,7,3.01,0,52,54.11,13,1,36.74,0,3,196,227,12,510,C_0001,A_0001,G_0001
A_0002,blocked,223.31,1113,18,7.1,131,13,72.87,7,1,83.46,0,299,619,221,8,149,C_0002,A_0002,G_0002
A_0003,deleted,0.03,0,0,3.18,0,1,3.8,0,1,1.74,0,0,2,1,0,0,C_0003,A_0003,G_0003
A_0004,deleted,1943.66,12996,196,9.37,851,311,204.79,16,4,132.96,0,953,3922,2306,46,249,C_0004,A_0004,G_0004
A_0005,blocked,463.11,3522,59,10.18,108,2,89.72,2,2,297.73,0,5051,3435,6925,262,825,C_0005,A_0005,G_0005
A_0006,deleted,253.3,1067,6,14.74,6,1,27.03,0,2,150.9,0,1,9,46,1,1,C_0006,A_0006,G_0006
A_0007,deleted,1539.16,10507,141,8.41,333,223,309.78,4,1,18.83,0,20,885,731,18,59,C_0007,A_0007,G_0007
A_0008,active,11.32,37,4,4.63,0,138,90.08,4,1,23.34,0,6,146,63,11,14,C_0008,A_0008,G_0008
A_0009,deleted,183.38,559,21,12.43,106,1,7.7,1,1,22.54,0,100,16,25,10,347,C_0009,A_0009,G_0009
A_0010,deleted,2614.7,14374,98,10.09,173,211,119.51,12,219,802.0,0,11743,7280,5257,345,1638,C_0010,A_0010,G_0010
A_0011,deleted,1.47,14,32,8.49,7,1,30.95,2,113,566.78,0,0,22,25,0,4,C_0011,A_0011,G_0011
A_0012,deleted,4.58,29,7,5.59,0,1,8.54,0,2,121.86,0,25,36,10,0,0,C_0012,A_0012,G_0012
A_0013,deleted,0.16,0,2,7.22,3,1,33.77,3,74,567.15,0,0,4,2,1,2,C_0013,A_0013,G_0013
A_0014,deleted,772.59,4359,5,2.99,4,2,26.15,6,11,196.8,0,20,174,52,1,1,C_0014,A_0014,G_0014
A_0015,deleted,1.3,7,1,6.79,3,1,0.72,0,1,10.7,0,1,3,2,1,84,C_0015,A_0015,G_0015
A_0016,deleted,3238.8,15190,71,13.62,570,33,101.35,4,1,89.02,0,2242,851,797,31,412,C_0016,A_0016,G_0016
A_0017,blocked,175.67,985,51,10.93,34,1,12.18,3,1,19.42,0,17,58,4,0,1,C_0017,A_0017,G_0017
A_0018,deleted,13.92,25,1,2.12,3,2,21.21,7,96,601.96,0,0,3,2,0,0,C_0018,A_0018,G_0018
A_0019,blocked,388.76,1618,33,9.39,4,11,57.5,4,590,1641.21,0,9,101,23,0,1,C_0019,A_0019,G_0019
A_0020,deleted,329.52,1235,25,7.46,1,8,19.66,6,283,736.94,0,5887,397,251,8,4,C_0020,A_0020,G_0020
A_0021,blocked,29.76,220,2,3.0,0,1,1.52,6,1,85.69,0,16,157,112,1,19,C_0021,A_0021,G_0021
A_0022,deleted,4082.21,26248,714,15.57,1575,373,210.95,16,1,0.0,0,7520,7830,8838,308,1940,C_0022,A_0022,G_0022
A_0023,blocked,10.62,31,3,2.3,1,6,11.3,10,12,118.52,0,67,407,432,8,26,C_0023,A_0023,G_0023
A_0024,deleted,1042.59,6255,736,31.14,1573,136,248.8,5,1,3.93,0,11141,6268,4897,270,1251,C_0024,A_0024,G_0024
A_0025,blocked,7.52,20,0,2.25,0,1,2.93,2,1,113.78,0,150,49,47,0,4,C_0025,A_0025,G_0025
A_0026,deleted,103.39,484,45,10.4,37,1,26.52,1,1,11.81,0,129,220,148,29,114,C_0026,A_0026,G_0026
A_0027,deleted,51.65,298,60,12.63,39,2,44.81,3,1,1.16,0,1,15,53,0,5,C_0027,A_0027,G_0027
A_0028,blocked,1728.72,12640,242,5.96,810,45,80.63,24,20,478.21,0,1274,3680,5227,183,823,C_0028,A_0028,G_0028
A_0029,deleted,106.68,484,109,10.76,19,14,29.03,1,2,234.93,0,783,863,462,4,70,C_0029,A_0029,G_0029
A_0030,deleted,20.14,94,2,9.38,5,1,6.51,0,1,23.64,0,0,19,23,0,8,C_0030,A_0030,G_0030
A_0031,deleted,69.39,370,4,3.3,8,42,31.74,9,1,57.1,0,46,939,2396,59,1041,C_0031,A_0031,G_0031
A_0032,blocked,176.83,623,8,5.98,16,7,80.13,1,4,188.15,0,0,8,8,0,4,C_0032,A_0032,G_0032
A_0033,active,184.83,470,84,13.59,156,171,140.78,6,8,197.31,0,164,181,130,32,178,C_0033,A_0033,G_0033
A_0034,deleted,0.11,0,0,3.74,0,1,13.15,1,107,1129.53,0,0,1,1,0,0,C_0034,A_0034,G_0034
A_0035,deleted,0.0,0,0,1.04,0,1,17.75,3,1,29.21,0,0,2,2,0,46,C_0035,A_0035,G_0035
A_0036,deleted,0.12,0,1,7.76,1,1,15.39,0,1,59.7,0,0,1,1,0,0,C_0036,A_0036,G_0036
A_0037,deleted,438.42,1600,1,8.94,0,1,2.52,8,1,62.87,0,0,3,2,0,1,C_0037,A_0037,G_0037
A_0038,active,2080.65,8598,29,11.79,10,10,41.84,1,17,248.74,0,1696,928,1659,71,508,C_0038,A_0038,G_0038
A_0039,deleted,20.83,32,13,5.36,39,6,47.15,6,27,418.38,0,0,1,1,0,1,C_0039,A_0039,G_0039
A_0040,deleted,829.32,4250,0,7.42,0,1,4.33,1,5,506.85,0,116,44,17,0,0,C_0040,A_0040,G_0040
A_0041,deleted,3702.45,22400,296,8.26,466,33,95.82,8,73,227.39,0,2234,2026,1678,59,353,C_0041,A_0041,G_0041
A_0042,deleted,0.64,1,0,1.54,0,1,7.7,2,1,6.82,0,0,1,1,0,0,C_0042,A_0042,G_0042
A_0043,deleted,0.99,8,0,1.26,0,1,8.4,0,1,130.7,0,0,1,1,0,0,C_0043,A_0043,G_0043
A_0044,deleted,2.37,12,0,2.36,0,1,25.93,1,6,229.69,0,20,141,43,0,15,C_0044,A_0044,G_0044
A_0045,deleted,3872.6,20105,43,15.04,131,1,71.42,1,57,691.76,0,1278,1587,1477,94,608,C_0045,A_0045,G_0045
A_0046,blocked,154.18,776,11,4.9,3,1,11.14,6,9,38.73,0,401,728,94,2,42,C_0046,A_0046,G_0046
A_0047,deleted,629.13,3075,66,13.15,43,54,130.95,4,5,261.23,0,2035,713,413,38,326,C_0047,A_0047,G_0047
A_0048,deleted,0.01,0,0,4.25,0,1,6.06,4,1,10.03,0,0,1,1,0,0,C_0048,A_0048,G_0048
A_0049,deleted,180.19,894,42,6.38,7,1,34.76,3,13,116.08,0,1020,388,349,17,95,C_0049,A_0049,G_0049
A_0050,deleted,4065.37,24404,229,7.27,839,374,128.46,16,1,19.68,0,432,2494,4166,119,693,C_0050,A_0050,G_0050
A_0051,deleted,0.0,0,0,1.94,0,1,19.26,0,1,56.68,0,0,1,1,0,0,C_0051,A_0051,G_0051
A_0052,deleted,2861.5,20927,32,4.39,81,1,16.85,1,1,132.3,0,422,132,150,6,22,C_0052,A_0052,G_0052
A_0053,deleted,0.47,1,0,0.79,0,1,2.06,2,1,19.59,0,0,1,1,0,0,C_0053,A_0053,G_0053
A_0054,blocked,868.99,5225,18,4.41,66,9,32.79,9,1,30.93,0,52,552,145,3,166,C_0054,A_0054,G_0054
A_0055,blocked,0.01,0,0,0.39,0,1,14.65,0,1,92.76,0,0,1,1,0,0,C_0055,A_0055,G_0055
A_0056,deleted,706.07,3395,5,4.77,2,2,34.18,3,5,181.29,0,226,254,942,8,20,C_0056,A_0056,G_0056
A_0057,deleted,684.77,3520,18,6.72,2,1,13.62,14,1,6.43,0,2961,167,8,5,47,C_0057,A_0057,G_0057
A_0058,deleted,7185.97,40063,1257,44.72,3935,25,189.99,3,1,130.07,0,21044,7347,9613,266,1169,C_0058,A_0058,G_0058
A_0059,deleted,0.51,2,0,0.05,0,1,3.29,11,1,4.42,0,2,29,1,0,0,C_0059,A_0059,G_0059
A_0060,deleted,14.47,27,2,7.33,6,1,61.63,1,1,31.54,0,3,55,2,0,1,C_0060,A_0060,G_0060
A_0061,deleted,0.15,0,0,1.15,0,1,10.74,4,1,10.41,0,0,1,1,0,0,C_0061,A_0061,G_0061
A_0062,deleted,37.38,114,4,4.45,2,4,54.34,7,68,539.94,0,93,135,94,3,26,C_0062,A_0062,G_0062
A_0063,deleted,565.89,3630,116,11.8,93,10,118.88,0,6,518.86,0,4216,2611,3202,148,682,C_0063,A_0063,G_0063
A_0064,deleted,3034.64,17763,220,15.22,742,12,79.09,11,4,205.4,0,4147,2234,1145,53,314,C_0064,A_0064,G_0064
A_0065,blocked,0.0,0,0,5.28,0,1,7.06,0,1,41.94,0,10,13,1,0,0,C_0065,A_0065,G_0065
A_0066,deleted,0.0,0,0,1.09,0,1,33.74,0,1,28.61,0,0,4,3,0,3,C_0066,A_0066,G_0066
A_0067,deleted,4079.81,23612,381,13.77,1653,11,75.54,27,2,199.23,0,4725,1385,294,8,192,C_0067,A_0067,G_0067
A_0068,deleted,7.01,7,39,4.5,63,18,36.55,2,265,748.56,0,382,853,159,5,21,C_0068,A_0068,G_0068
A_0069,deleted,708.57,3500,200,14.79,818,3,76.38,6,1,148.58,0,385,803,293,68,185,C_0069,A_0069,G_0069
A_0070,blocked,352.21,1348,26,10.43,116,1,62.75,0,1,6.0,0,646,95,82,2,9,C_0070,A_0070,G_0070
A_0071,blocked,5.33,57,34,9.14,33,1,53.77,1,97,889.73,0,0,6,1,0,0,C_0071,A_0071,G_0071
A_0072,deleted,1364.69,5986,199,19.6,1035,20,202.02,2,1,227.17,0,2777,699,172,10,130,C_0072,A_0072,G_0072
