campaign_name,status,budget_total,budget_daily,spent_total,impressions,clicks,ecpc,listens_started,audio_added,audio_added_price,audio_shared,playlist_added,playlist_added_price,playlist_shared,view_start,view_25,view_50,view_75,view_100,campaign_id,advertised_object,target_action,target_price,strategy
C_0000,deleted,Бюджет группы,159,51381.05,325823,9508,17.05,6181,1907,132.19,78,0,1037.61,0,118834,29378,14245,12986,5620,C_0000,Музыка,Показы рекламы,100,-
C_0001,blocked,Бюджет группы,1000,142333.98,415925,17264,46.63,16766,4002,442.18,52,11,10939.16,0,390534,87219,36529,57325,17684,C_0001,Музыка,Старт прослушиваний,Цена группы,-
C_0002,deleted,Бюджет группы,Бюджет группы,1165.82,45437,895,0.98,750,294,2.0,6,0,292.72,0,2628,645,212,19,49,C_0002,Музыка,Старт прослушиваний,40,-
C_0003,deleted,Бюджет группы,408,0.56,332,12,0.18,267,216,23.3,1,5,3348.86,0,10,20,5,4,6,C_0003,Музыка,Старт прослушиваний,Цена группы,Предельная цена
C_0004,blocked,Бюджет группы,Бюджет группы,4632.16,57614,199,1.23,180,431,24.4,30,19,4289.11,0,22352,2103,473,18,16,C_0004,Музыка,Старт прослушиваний,18,-
C_0005,active,Бюджет группы,336,18824.65,83449,3650,7.08,1726,343,86.08,15,0,767.13,0,99256,25012,5948,9668,2970,C_0005,Музыка,Старт прослушиваний,Авто,Целевая цена
C_0006,deleted,Бюджет группы,Бюджет группы,20301.19,160500,1691,9.01,1107,965,200.94,3,0,7.21,0,64305,13660,3355,4260,1272,C_0006,Сообщество и профиль Вконтакте,Показы рекламы,Авто,Целевая цена
C_0007,deleted,-,Бюджет группы,1205.71,63208,4455,0.55,7763,2844,52.08,192,2,4344.41,0,1916,522,187,241,411,C_0007,Музыка,Старт прослушиваний,Цена группы,-
C_0008,deleted,Бюджет группы,5000,0.07,153,2,0.04,226,128,12.12,1,0,116.32,0,0,0,1,0,0,C_0008,Музыка,Старт прослушиваний,Цена группы,Минимальная цена
C_0009,deleted,Бюджет группы,Бюджет группы,10998.88,155152,3690,8.41,3072,667,87.3,6,24,7811.57,0,14534,2770,4598,4964,3060,C_0009,Музыка,Старт прослушиваний,Цена группы,-
C_0010,deleted,Бюджет группы,41666,246.49,10755,757,0.68,2568,914,56.71,82,61,11541.85,0,1445,1049,240,276,158,C_0010,Музыка,Продвижение поста,Цена группы,-
C_0011,deleted,-,2000,36754.31,216015,11192,14.23,11018,3253,267.42,129,0,774.09,0,164014,31576,12416,19875,5093,C_0011,Музыка,Продвижение поста,Цена группы,-
C_0012,deleted,-,Бюджет группы,65292.48,345591,7910,11.08,4986,1570,69.11,76,0,110.56,0,161230,35389,12679,14336,4961,C_0012,Музыка,Старт прослушиваний,Цена группы,-
C_0013,deleted,Бюджет группы,5000,7.66,4339,551,0.75,2644,395,1.95,10,0,107.5,0,9908,1858,1294,2986,1170,C_0013,Музыка,Старт прослушиваний,Цена группы,-
C_0014,deleted,3000,Бюджет группы,199.37,15507,257,1.57,224,27,0.34,1,10,5655.06,0,1446,474,180,7,23,C_0014,Музыка,Продвижение поста,Цена группы,Минимальная цена
C_0015,deleted,-,Бюджет группы,2.5,3454,288,1.2,309,116,4.34,1,0,2254.88,0,1318,376,146,18,180,C_0015,Музыка,Продвижение поста,17,Минимальная цена
C_0016,deleted,Бюджет группы,Бюджет группы,19236.27,163042,3737,8.13,2933,675,32.63,57,1,32.65,0,34350,8481,2408,7372,1810,C_0016,Музыка,Старт прослушиваний,Цена группы,-
C_0017,deleted,Бюджет группы,10000,1486.62,18930,1448,0.91,1803,1180,62.61,41,729,14353.53,0,35806,12748,5881,2214,1715,C_0017,Музыка,Старт прослушиваний,Цена группы,Предельная цена
C_0018,deleted,Бюджет группы,Бюджет группы,150000.0,688706,20777,22.31,18085,5025,216.49,199,0,1.9,0,559034,145283,85364,57325,28232,C_0018,Музыка,Старт прослушиваний,Цена группы,-
C_0019,blocked,3000,380,3022.56,29327,731,11.05,2463,950,311.18,1,0,1.15,0,13497,4869,869,2598,812,C_0019,Музыка,Старт прослушиваний,150,Минимальная цена
C_0020,deleted,Бюджет группы,3500,5.32,1648,21,0.19,9,73,2.86,1,3,4428.87,0,706,151,29,3,13,C_0020,Музыка,Старт прослушиваний,Цена группы,-
C_0021,deleted,-,Бюджет группы,0.01,52,2,0.3,4,4,0.64,1,0,85.31,0,0,0,1,0,1,C_0021,"Пост, видео, клип, статья",Старт прослушиваний,Авто,Минимальная цена
C_0022,deleted,Бюджет группы,2100,12.46,4034,35,1.67,29,274,16.49,1,0,2.03,0,1507,266,161,153,86,C_0022,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0023,deleted,Бюджет группы,Бюджет группы,2197.11,36002,2733,6.82,4730,1169,183.3,4,0,1303.33,0,13852,2445,951,3691,644,C_0023,Музыка,Показы рекламы,12,Минимальная цена
C_0024,deleted,Бюджет группы,Бюджет группы,3.36,7585,48,0.07,125,183,8.99,2,176,12189.98,0,991,449,104,19,81,C_0024,Музыка,Старт прослушиваний,Цена группы,-
C_0025,deleted,-,Бюджет группы,0.83,867,59,0.15,47,26,4.08,2,5,6531.64,0,1,3,1,0,0,C_0025,"Пост, видео, клип, статья",Показы рекламы,12,Минимальная цена
C_0026,blocked,Бюджет группы,Бюджет группы,3.71,850,10,1.5,43,18,13.99,1,0,681.5,0,229,154,130,107,101,C_0026,Сообщество и профиль Вконтакте,Показы рекламы,Цена группы,-
C_0027,deleted,Бюджет группы,Бюджет группы,1175.96,35340,1204,4.01,883,166,17.29,1,618,14286.26,0,57179,10480,4069,6298,1985,C_0027,Музыка,Старт прослушиваний,Цена группы,-
C_0028,deleted,Бюджет группы,Бюджет группы,3536.44,134232,4839,4.51,3305,1035,26.74,45,24,6442.1,0,13527,3840,3157,4008,1177,C_0028,Музыка,Показы рекламы,Цена группы,-
C_0029,deleted,-,2000,89778.64,501388,13184,36.49,3256,798,62.81,11,6,3546.47,0,233659,41693,11441,6600,4545,C_0029,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,Целевая цена
C_0030,deleted,-,Бюджет группы,7994.28,48673,1348,7.05,632,224,5.81,1,0,1026.98,0,69296,13463,2178,722,421,C_0030,Музыка,Старт прослушиваний,Цена группы,Минимальная цена
C_0031,deleted,-,Бюджет группы,1.73,1617,83,0.12,804,384,25.16,39,0,3277.22,0,50,13,7,9,14,C_0031,Сообщество и профиль Вконтакте,Показы рекламы,12,Минимальная цена
C_0032,blocked,Бюджет группы,Бюджет группы,1981.84,10832,87,18.55,2,5,0.13,1,0,20.47,0,1010,147,33,130,23,C_0032,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,Предельная цена
C_0033,deleted,Бюджет группы,Бюджет группы,9135.39,56088,4643,5.17,5034,1047,127.35,28,0,1274.62,0,183604,41118,12615,13938,4656,C_0033,Музыка,Старт прослушиваний,Цена группы,-
C_0034,deleted,Бюджет группы,Бюджет группы,85386.95,355687,14857,20.63,12164,2735,240.17,85,0,0.02,0,271779,81683,31061,42296,14295,C_0034,Музыка,Старт прослушиваний,Цена группы,-
C_0035,blocked,Бюджет группы,5000,31081.93,223774,3415,8.38,885,630,6.45,3,0,1113.44,0,147680,23298,4358,3776,1409,C_0035,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0036,blocked,Бюджет группы,Бюджет группы,0.01,188,39,0.1,153,481,2.81,2,0,0.94,0,3027,698,318,215,376,C_0036,Музыка,Старт прослушиваний,Цена группы,-
C_0037,blocked,1000,9166,6412.29,108454,2565,1.09,3329,1763,15.51,37,37,12742.47,0,48248,13335,5913,4905,2246,C_0037,Музыка,Старт прослушиваний,Цена группы,-
C_0038,blocked,Бюджет группы,Бюджет группы,381.58,8373,343,0.43,2791,940,106.27,16,0,16.92,0,658,516,42,21,15,C_0038,Музыка,Старт прослушиваний,Цена группы,Минимальная цена
C_0039,deleted,Бюджет группы,Бюджет группы,152.05,9029,60,0.33,814,121,14.71,4,12,5922.74,0,2319,391,212,231,44,C_0039,Музыка,Старт прослушиваний,Цена группы,-
C_0040,deleted,Бюджет группы,25083,2566.25,150951,2814,6.97,807,179,12.07,3,208,12356.58,0,14475,3396,1903,702,1585,C_0040,Музыка,Старт прослушиваний,100,-
C_0041,deleted,Бюджет группы,Бюджет группы,12999.91,152781,6039,16.75,2033,462,9.67,11,5,5930.09,0,13082,3090,1983,2819,1245,C_0041,"Пост, видео, клип, статья",Старт прослушиваний,10,-
C_0042,deleted,Бюджет группы,Бюджет группы,97060.63,334729,8784,23.84,7758,2800,123.62,60,0,0.01,0,104580,27538,11152,15987,4733,C_0042,Музыка,Старт прослушиваний,Цена группы,-
C_0043,deleted,Бюджет группы,Бюджет группы,467.01,11348,299,1.45,436,332,72.29,1,18,12815.63,0,7099,2284,1681,2251,1321,C_0043,Музыка,Старт прослушиваний,Цена группы,Целевая цена
C_0044,blocked,Бюджет группы,9166,325.52,30571,681,4.48,463,136,10.79,1,0,637.05,0,32941,5298,2864,3289,842,C_0044,Сообщество и профиль Вконтакте,Продвижение поста,Цена группы,-
C_0045,deleted,Бюджет группы,Бюджет группы,18537.25,135827,4649,14.34,4041,899,50.93,71,0,0.55,0,90064,23242,3575,3100,2512,C_0045,Музыка,Старт прослушиваний,Цена группы,-
C_0046,deleted,-,Бюджет группы,165.08,59417,971,1.69,716,591,3.81,16,0,231.05,194,8484,2343,1171,717,1207,C_0046,Музыка,Старт прослушиваний,Цена группы,Минимальная цена
C_0047,blocked,Бюджет группы,Бюджет группы,68600.73,225567,4510,27.57,2855,1094,72.84,24,0,73.5,0,243990,48116,23916,24240,8159,C_0047,Музыка,Старт прослушиваний,Цена группы,-
C_0048,deleted,Бюджет группы,2100,3.45,2601,332,0.15,2262,501,22.02,10,0,106.15,0,326,233,165,93,168,C_0048,Музыка,Старт прослушиваний,Авто,-
C_0049,deleted,Бюджет группы,Бюджет группы,1447.58,50984,912,2.95,972,744,18.09,2,20,7074.78,0,7837,1386,1313,236,934,C_0049,Музыка,Старт прослушиваний,Авто,-
C_0050,deleted,Бюджет группы,41666,558.41,20880,481,1.82,4556,559,115.77,2,0,1.63,0,370,176,476,2626,325,C_0050,Музыка,Старт прослушиваний,Цена группы,Предельная цена
C_0051,deleted,-,Бюджет группы,3.27,3847,289,0.31,81,350,1.22,2,0,1.64,0,380,472,29,0,17,C_0051,Музыка,Старт прослушиваний,12,Минимальная цена
C_0052,blocked,Бюджет группы,Бюджет группы,69770.21,271729,9400,19.83,6684,2492,94.82,79,0,181.66,0,188247,45207,21533,33424,10532,C_0052,Музыка,Старт прослушиваний,Цена группы,-
C_0053,blocked,Бюджет группы,3500,0.0,105,2,0.53,1,5,0.06,1,0,1175.63,0,84,11,3,0,6,C_0053,Музыка,Старт прослушиваний,Цена группы,-
C_0054,deleted,Бюджет группы,Бюджет группы,1415.94,31621,1305,1.95,2106,632,33.09,9,44,12164.39,0,16551,3692,1417,1340,1001,C_0054,Музыка,Старт прослушиваний,Цена группы,-
C_0055,deleted,Бюджет группы,Бюджет группы,102259.93,496118,12696,25.02,7332,923,22.29,99,1,10556.06,0,235194,48637,15750,26561,9957,C_0055,Музыка,Показы рекламы,500,-
C_0056,deleted,Бюджет группы,Бюджет группы,2.36,159,8,0.63,22,9,2.37,1,0,183.24,0,78,54,14,14,4,C_0056,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0057,deleted,Бюджет группы,Бюджет группы,0.05,91,6,3.46,1,1,0.04,1,0,2651.98,0,200,56,24,4,3,C_0057,"Пост, видео, клип, статья",Продвижение поста,Цена группы,Целевая цена
C_0058,deleted,-,Бюджет группы,0.02,134,7,0.0,10,214,0.18,52,0,210.86,0,29,9,5,1,3,C_0058,Музыка,Показы рекламы,10,Минимальная цена
C_0059,blocked,Бюджет группы,Бюджет группы,116267.42,285483,7582,28.54,1878,353,60.23,4,0,2.56,0,260891,65832,15405,28004,7602,C_0059,"Пост, видео, клип, статья",Старт прослушиваний,70,-
C_0060,blocked,Бюджет группы,159,70226.01,354009,8946,34.6,3702,1402,125.63,17,0,5985.79,0,333212,56061,33538,44621,13224,C_0060,Музыка,Старт прослушиваний,Цена группы,-
C_0061,deleted,Бюджет группы,Бюджет группы,542.38,17197,113,0.92,19,20,2.01,1,10,7016.14,0,135,108,36,41,67,C_0061,Музыка,Старт прослушиваний,Авто,Минимальная цена
C_0062,deleted,Бюджет группы,9166,25199.62,89231,1024,4.99,3054,453,53.57,35,0,138.38,4,33349,5317,3164,7370,835,C_0062,Музыка,Старт прослушиваний,Цена группы,Целевая цена
C_0063,blocked,10000,1000,2.76,1585,25,0.53,8,16,0.16,1,0,1.35,0,811,242,28,5,5,C_0063,Музыка,Старт прослушиваний,Цена группы,Целевая цена
C_0064,deleted,Бюджет группы,Бюджет группы,325.09,29893,3049,0.58,6042,2360,34.46,110,4,9726.68,0,14001,3589,1392,2224,2264,C_0064,Музыка,Старт прослушиваний,100,-
C_0065,deleted,-,25083,0.16,167,4,1.14,1,38,0.43,1,0,1.31,0,9,3,2,0,0,C_0065,"Пост, видео, клип, статья",Старт прослушиваний,70,-
C_0066,deleted,Бюджет группы,1000,3.04,4980,331,0.63,372,74,6.09,1,137,14563.31,0,186,85,26,19,27,C_0066,Музыка,Продвижение поста,Авто,Целевая цена
C_0067,deleted,-,Бюджет группы,20.9,2843,76,0.24,31,43,2.32,1,12,6501.2,0,192,77,4,5,1,C_0067,"Пост, видео, клип, статья",Продвижение поста,Цена группы,-
C_0068,deleted,3000,Бюджет группы,20596.34,131196,2753,20.08,453,392,85.08,1,0,1717.76,0,139340,21612,7253,13044,3026,C_0068,Музыка,Старт прослушиваний,Цена группы,-
C_0069,blocked,Бюджет группы,-,0.57,1343,26,4.22,7,8,4.75,1,0,726.88,0,31,12,38,144,264,C_0069,"Пост, видео, клип, статья",Старт прослушиваний,Цена группы,-
C_0070,deleted,8750,Бюджет группы,14.06,1446,98,1.28,1757,603,37.7,7,0,73.03,0,4,7,8,20,56,C_0070,Музыка,Старт прослушиваний,Цена группы,-
C_0071,deleted,-,Бюджет группы,19.75,3292,197,0.44,1171,907,6.08,19,0,1310.84,0,275,67,42,6,51,C_0071,Музыка,Старт прослушиваний,100,-
C_0072,blocked,Бюджет группы,Бюджет группы,1.29,917,1,0.21,1,1,0.0,1,0,0.62,0,317,40,29,3,19,C_0072,Музыка,Старт прослушиваний,Авто,Целевая цена
C_0073,deleted,Бюджет группы,10000,138365.12,510902,20534,22.02,17709,4085,164.9,155,3,2094.1,0,261329,73960,28016,45716,14422,C_0073,Музыка,Старт прослушиваний,Авто,-
C_0074,deleted,Бюджет группы,3500,13.47,865,9,0.04,499,309,42.75,2,0,9843.58,0,36,9,4,12,25,C_0074,Музыка,Старт прослушиваний,12,-
C_0075,deleted,Бюджет группы,Бюджет группы,14394.76,110216,2899,15.77,692,336,64.89,1,0,0.01,0,42277,9174,3821,5312,2531,C_0075,Музыка,Старт прослушиваний,Цена группы,-
