group_name,status,budget_total,budget_daily,spent_total,impressions,clicks,ecpc,listens_started,audio_added,audio_added_price,audio_shared,playlist_added,playlist_added_price,playlist_shared,view_start,view_25,view_50,view_75,view_100,group_id,target_price,strategy,campaign_id
ж 25-34 - подписчики - Сателлит - Под бой курантов (скрытые),deleted,-,550,3477.52,12522,426,21.82,667,353,112.05,4,190,637.35,0,11987,1460,1175,1074,284,14737425,Авто,Минимальная цена,15779672
Владимир Пресняков (18-25),active,-,1000,124.59,837,2,0.11,27,54,52.03,0,0,21.32,0,122,19,11,25,1,11025267,Авто,Минимальная цена,19333255
"ж 24-28 - более 4 - Turken – Досрочно - базы - Россия, Казахстан, Беларусь (скрытые)",deleted,-,1000,5522.21,23223,107,10.41,323,728,37.06,3,2,80.79,0,18569,1655,1829,1540,164,12098593,Авто,Минимальная цена,16525409
Вусал Мирзаев - мж 18-44 - Tural Everest - Верный друг (скрытые),deleted,-,Бюджет кампании,963.87,4559,56,2.19,47,85,26.17,17,280,601.86,0,3272,483,212,56,2,9064931,Цена кампании,Целевая цена,16114268
ж 36-45 - более 8 - Turken - Лучше меня (скрытые),blocked,Бюджет кампании,Бюджет кампании,1284.1,5536,14,1.53,139,140,19.29,5,142,342.3,0,176,372,183,61,19,1994414,Авто,-,18071275
Подписчики (премьерный пост),deleted,-,Бюджет кампании,708.09,2646,32,11.38,13,1,24.72,1,0,6.02,0,14,36,71,132,37,6107800,Авто,-,15406539
Bahh Tee - ж 29- 35 - слушатели - Мохито - Перед рассветом (Remix) (скрытые) - похожие,deleted,-,1500,3487.39,18691,633,35.79,1085,377,103.99,8,110,676.67,0,6089,1510,515,76,1,10493151,Авто,Минимальная цена,16422522
м 18-24 - подписчики - ALEX ANDREEV - Пьяная любовь (скрытые),deleted,-,3000,1449.44,7350,211,1.18,1338,1576,82.17,14,57,321.23,0,11508,1600,2384,947,282,9904390,Авто,Минимальная цена,15933553
мж 19-35 - более 5 - Idris & Leos - Обезболить (скрытые) - базы,deleted,-,100,106.53,524,0,1.03,1,1,7.34,1,61,209.14,0,293,42,73,42,119,11848493,Авто,Минимальная цена,17473933
Курбан Гусайханов - мж 18-44 - Руслан Добрый - Верный друг (скрытые),blocked,-,5000,3238.17,15188,349,8.54,1608,837,120.74,11,397,813.07,0,16624,4256,2700,4049,764,10424265,Авто,-,16013955
Копия ж 19-35 - Ideal - Asammuell - Грустные глаза (скрытые) - базы треки,blocked,-,300,3145.23,14567,66,7.27,376,718,83.54,6,64,280.96,1,25334,2918,1388,2228,223,12286551,Авто,Минимальная цена,17650433
м 14-18 - The Limba – Винчестер - слушатели - Россия (скрытые),deleted,-,200,1638.1,8583,92,1.17,160,41,52.93,17,0,3.8,0,212,62,43,26,25,5294968,Авто,Минимальная цена,16386325
"ж 25-35 - слушатели - SEREBRO - Кто я для тебя - Россия, Беларусь, Казахстан (скрытые)",deleted,-,-,875.0,3051,155,7.69,687,517,89.01,6,6,113.29,0,3929,451,247,173,30,391279,Авто,Минимальная цена,16635417
"Idris & Leos - ж 18-34 - базы - SAYAN, GLAZUR - Закрой мои глаза 2.0 (скрытые) - обложка",deleted,Бюджет кампании,300,2922.26,14518,283,6.83,442,251,58.01,11,19,151.71,0,3492,937,206,308,62,4318623,Авто,Минимальная цена,18915723
"HOVO - мж 18-44 - слушатели - SAYAN - Тот, кто (скрытые)",deleted,-,700,3412.86,14552,182,21.66,86,75,73.53,3,0,0.16,0,7299,1183,683,344,45,11631214,Авто,Минимальная цена,16535629
Merab Amzoevi - ж 24-45 - v.4 EMIN - Жизнь игра -  похожие + фиты (скрытые),active,-,1000,99.09,384,9,1.97,104,335,57.75,0,144,397.95,0,130,9,36,33,1,139390,Авто,Целевая цена,17488460
Эльдар Далгатов - м 19-35 - слушатели - Марат Альборов - Другой не надо (скрытые),deleted,-,200,15.86,74,0,0.01,10,33,42.27,2,117,360.69,0,992,134,270,245,44,15796380,Авто,Минимальная цена,17098232
